Date,Open,High,Low,Close,Volume,Market Cap
02-08-2019,107.79,109.51,105.2,105.52,219195431,945485901
01-08-2019,109.28,109.36,105.44,107.79,163095470,965605793
31-07-2019,105.45,109.2,105.28,109.2,169370085,977419290
30-07-2019,105.99,107.84,104.2,105.52,162697638,944320202
29-07-2019,108.36,109.18,105.04,105.98,329780599,948316015
28-07-2019,110.52,112.07,103.75,108.39,318393082,969657236
27-07-2019,115.4,117.18,108.97,110.51,311051445,988407523
26-07-2019,115.46,115.71,112.53,115.43,282012230,1032203835
25-07-2019,110.07,116.21,109.59,115.48,259603578,1032519323
24-07-2019,109.64,111.24,107.19,110.03,226086425,983593678
23-07-2019,114.74,114.95,109.23,109.65,186342849,979996937
22-07-2019,119.08,119.26,112.94,114.72,175141025,1025103381
21-07-2019,117.27,119.3,116.19,119.04,165889734,1063550859
20-07-2019,112.75,120.79,112.75,117.32,163620065,1047959939
19-07-2019,111.43,113.84,107.66,112.75,174440117,1006920110
18-07-2019,103.44,112.8,100.92,111.39,227066432,994550336
17-07-2019,101.87,107.87,97.12,103.39,221765645,922996529
16-07-2019,123.14,125.14,101.73,102.13,246413641,911570565
15-07-2019,124.14,126.54,118.92,123.12,262140694,1098667751
14-07-2019,140.52,141.2,123.84,124.18,238515648,1107983488
13-07-2019,143.72,144.47,137.25,140.5,261580245,1253325260
12-07-2019,143.18,148.28,141.94,143.7,222825505,1281647554
11-07-2019,150.86,150.87,137.03,142.99,279769967,1275008078
10-07-2019,156.68,158.06,145.13,150.83,292630290,1344702321
09-07-2019,160.23,162.86,154.79,156.72,277852503,1396898233
08-07-2019,157.57,160.77,156.87,160.31,301092160,1428703646
07-07-2019,153.77,159.43,152.91,157.63,247451365,1404511672
06-07-2019,152.7,158.14,152.52,153.85,231404628,1370602178
05-07-2019,155.44,155.58,151.3,152.71,244432663,1360135350
04-07-2019,157.94,162.56,154.23,155.27,295325292,1382706946
03-07-2019,152.48,158.56,152.46,157.9,253239209,1405887582
02-07-2019,154.24,155.21,145.62,152.49,243217824,1357454577
01-07-2019,156.42,161.04,147.2,154.2,249970038,1371526152
30-06-2019,169.96,171.56,156.03,156.47,295890301,1391438030
29-06-2019,170.41,170.96,163.48,169.99,307652132,1511319451
28-06-2019,156.4,170.95,153.65,170.43,306213897,1514952926
27-06-2019,174.83,176.58,147.78,156.3,423880879,1389082241
26-06-2019,178.73,187.54,172.09,174.9,566964916,1554143790
25-06-2019,175.91,180.11,175.17,178.69,349323271,1587483490
24-06-2019,174.43,178.28,171.93,175.88,340490731,1562272519
23-06-2019,176.18,180.41,171.38,174.36,376279204,1548410613
22-06-2019,168.05,180.77,167.23,176.17,477589075,1564208142
21-06-2019,161.83,168.24,161.83,167.89,326060861,1490432145
20-06-2019,162.01,162.76,158.34,161.75,248349236,1435630221
19-06-2019,158.41,162.47,158.22,162.0,278819490,1437574215
18-06-2019,159.09,165.67,156.03,158.39,302981966,1405310335
17-06-2019,156.69,160.72,156.67,159.14,270267936,1411627580
16-06-2019,155.05,161.12,154.71,156.69,353935769,1389627507
15-06-2019,154.11,156.1,153.28,155.01,306828766,1374452649
14-06-2019,153.78,155.49,150.36,154.14,348136254,1366525550
13-06-2019,156.3,159.11,153.48,153.67,370371097,1362076802
12-06-2019,147.87,157.33,147.04,156.18,397969408,1384040061
11-06-2019,151.43,151.43,144.21,147.86,370580497,1310079565
10-06-2019,142.73,151.71,141.14,151.51,403196738,1342142467
09-06-2019,145.89,146.64,140.16,142.89,337508605,1265537507
08-06-2019,150.0,150.56,143.63,146.03,364289507,1293099293
07-06-2019,144.11,152.62,142.72,150.1,409081234,1328912570
06-06-2019,147.63,149.65,140.7,144.17,370382326,1276171133
05-06-2019,143.8,148.48,143.2,147.67,393664614,1306919913
04-06-2019,156.47,156.47,141.18,143.76,463111535,1272026168
03-06-2019,165.25,165.38,155.21,156.27,415992058,1382456873
02-06-2019,163.5,168.12,162.5,165.23,437591946,1461466316
01-06-2019,165.19,166.83,162.19,163.45,460782905,1445456689
31-05-2019,163.09,165.73,157.5,165.18,430726112,1459510453
30-05-2019,168.28,175.83,159.37,163.15,508894990,1441297640
29-05-2019,169.03,173.28,161.29,168.24,461954107,1485998718
28-05-2019,167.02,172.15,163.49,169.2,509134514,1494228053
27-05-2019,162.67,169.61,162.17,167.1,1019452596,1475341913
26-05-2019,156.06,165.04,152.86,162.6,959012638,1435374453
25-05-2019,156.32,160.31,154.9,156.12,407186152,1377919435
24-05-2019,154.55,162.43,154.14,156.34,469518392,1379541390
23-05-2019,154.8,156.16,146.55,154.48,405608815,1362875036
22-05-2019,166.65,167.71,153.14,155.05,378849361,1367625811
21-05-2019,167.74,168.74,160.71,166.64,433507335,1469588471
20-05-2019,169.83,171.9,159.47,167.75,520959990,1479097963
19-05-2019,140.4,171.43,140.02,169.78,509310051,1496694585
18-05-2019,138.14,143.33,134.98,140.36,394050658,1237132432
17-05-2019,148.78,149.77,130.82,137.81,419729334,1214443371
16-05-2019,152.35,161.37,145.56,148.73,540120847,1310380526
15-05-2019,141.45,153.33,141.42,152.49,512588128,1343244187
14-05-2019,131.77,142.15,131.49,141.48,387372749,1246025982
13-05-2019,124.27,136.0,123.63,131.74,377459113,1160042036
12-05-2019,124.12,127.58,118.17,124.3,343541553,1094291042
11-05-2019,112.82,126.07,112.37,124.18,365589460,1093058191
10-05-2019,112.38,115.25,111.39,112.81,284472127,992805398
09-05-2019,118.02,118.78,110.42,112.37,280347731,988752614
08-05-2019,117.51,118.39,115.95,118.04,277441522,1038417382
07-05-2019,120.4,123.3,117.45,117.53,296756861,1033722005
06-05-2019,119.29,121.96,116.82,120.42,299199981,1058916725
05-05-2019,120.72,121.05,118.52,119.31,255827278,1048975845
04-05-2019,121.03,123.92,117.91,120.7,290182752,1060989335
03-05-2019,117.24,122.93,116.19,121.1,286573520,1064279387
02-05-2019,117.2,119.12,116.0,117.24,259390832,1030188828
01-05-2019,111.83,119.39,111.79,117.19,276115351,1028971492
30-04-2019,108.13,112.11,107.77,111.79,253599720,981327287
29-04-2019,110.29,111.36,107.34,108.11,254679199,948825717
28-04-2019,109.67,111.34,109.02,110.24,239641263,967305378
27-04-2019,109.49,110.86,108.41,109.64,234540155,961928734
26-04-2019,108.74,111.81,106.4,109.46,273673328,960127855
25-04-2019,115.42,118.72,108.38,108.63,282460122,952626006
24-04-2019,118.74,120.88,112.6,115.41,312408765,1011904721
23-04-2019,122.72,125.1,118.65,118.74,295558405,1040909343
22-04-2019,121.58,123.34,120.11,122.7,252838818,1075400327
21-04-2019,123.59,124.19,118.73,121.56,267992470,1065247640
20-04-2019,123.05,124.74,122.06,123.53,256996001,1082314216
19-04-2019,124.37,124.59,121.72,123.05,256691636,1077907772
18-04-2019,120.6,125.47,120.6,124.24,303176904,1088118162
17-04-2019,121.54,123.16,119.59,120.61,265842428,1056091861
16-04-2019,119.31,121.81,116.99,121.55,304019084,1064125589
15-04-2019,123.23,124.34,116.42,119.21,284253075,1043436252
14-04-2019,120.13,123.76,118.99,123.29,242571615,1078878136
13-04-2019,119.59,120.92,118.68,120.12,236380649,1050960555
12-04-2019,123.14,123.14,117.13,119.63,269911688,1046469240
11-04-2019,130.08,130.21,116.35,123.12,298104060,1076781436
10-04-2019,132.36,133.84,128.5,129.96,301080748,1136415532
09-04-2019,136.33,136.33,130.87,132.3,262351291,1156675787
08-04-2019,135.28,137.65,131.15,136.32,347993408,1191564654
07-04-2019,130.89,135.41,130.53,135.26,390843775,1182064054
06-04-2019,132.77,135.97,129.73,130.95,276748770,1144152824
05-04-2019,123.85,132.77,123.85,132.77,304180972,1159794935
